channel_code,channel_type,bank_name
ACEH,bank,Bank Pembangunan Daerah Aceh
ACEH_UUS,bank,Bank Pembangunan Daerah Aceh Syariah (UUS)
AGRONIAGA,bank,Bank Raya Indonesia (formerly called Bank BRI Agroniaga)
ALADIN,bank,Bank Aladin Syariah (formerly Bank Maybank Syariah Indonesia)
ALLO,bank,Allo Bank Indonesia (formerly Bank Harda Internasional)
AMAR,bank,Bank Amar Indonesia (formerly called Anglomas International Bank)
ANZ,bank,Bank ANZ Indonesia
ARTHA,bank,Bank Artha Graha International
BALI,bank,Bank Pembangunan Daerah Bali
BAML,bank,Bank of America Merill-Lynch
BANTEN,bank,Bank Pembangunan Daerah Banten (formerly called Bank Pundi Indonesia)
BCA,bank,Bank Central Asia (BCA)
BCA_DIGITAL,bank,Bank Central Asia Digital (BluBCA)
BCA_SYR,bank,Bank Central Asia (BCA) Syariah
BENGKULU,bank,Bank Pembangunan Daerah Bengkulu
BISNIS_INTERNASIONAL,bank,Bank Bisnis Internasional
BJB,bank,Bank BJB
BJB_SYR,bank,Bank BJB Syariah
BNC,bank,Bank Neo Commerce (formerly Bank Yudha Bhakti)
BNI,bank,Bank Negara Indonesia (BNI)
BNP_PARIBAS,bank,Bank BNP Paribas
BOC,bank,Bank of China (BOC)
BRI,bank,Bank Rakyat Indonesia (BRI)
BSI,bank,Bank Syariah Indonesia (BSI)
BTN,bank,Bank Tabungan Negara (BTN)
BTN_UUS,bank,Bank Tabungan Negara Syariah (BTN UUS)
BTPN_SYARIAH,bank,BTPN Syariah (formerly called BTPN UUS and Bank Sahabat Purba Danarta)
BUKOPIN,bank,Bank Bukopin
BUKOPIN_SYR,bank,Bank Syariah Bukopin
BUMI_ARTA,bank,Bank Bumi Arta
CAPITAL,bank,Bank Capital Indonesia
CCB,bank,China Construction Bank Indonesia (formerly called Bank Antar Daerah and Bank Windu Kentjana International)
CHINATRUST,bank,Bank Chinatrust Indonesia
CIMB,bank,Bank CIMB Niaga
CIMB_UUS,bank,Bank CIMB Niaga Syariah (UUS)
CITIBANK,bank,Citibank
COMMONWEALTH,bank,Bank Commonwealth
DAERAH_ISTIMEWA,bank,Bank Pembangunan Daerah Daerah Istimewa Yogyakarta (DIY)
DAERAH_ISTIMEWA_UUS,bank,Bank Pembangunan Daerah Daerah Istimewa Yogyakarta Syariah (DIY UUS)
DANAMON,bank,Bank Danamon
DANAMON_UUS,bank,Bank Danamon Syariah (UUS)
DBS,bank,Bank DBS Indonesia
DEUTSCHE,bank,Deutsche Bank
DINAR_INDONESIA,bank,Bank Dinar Indonesia
DKI,bank,Bank DKI
DKI_UUS,bank,Bank DKI Syariah (UUS)
FAMA,bank,Bank Fama International
GANESHA,bank,Bank Ganesha
HANA,bank,Bank Hana
HSBC,bank,HSBC Indonesia (formerly called Bank Ekonomi Raharja)
HSBC_UUS,bank,Hongkong and Shanghai Bank Corporation Syariah (HSBC UUS)
IBK,bank,Bank IBK Indonesia (formerly Bank Agris)
ICBC,bank,Bank ICBC Indonesia
INA_PERDANA,bank,Bank Ina Perdania
INDEX_SELINDO,bank,Bank Index Selindo
INDIA,bank,Bank of India Indonesia
JAGO,bank,Bank Jago (formerly Bank Artos Indonesia)
JAMBI,bank,Bank Pembangunan Daerah Jambi
JAMBI_UUS,bank,Bank Pembangunan Daerah Jambi Syariah (UUS)
JASA_JAKARTA,bank,Bank Jasa Jakarta
JAWA_TENGAH,bank,Bank Pembangunan Daerah Jawa Tengah
JAWA_TENGAH_UUS,bank,Bank Pembangunan Daerah Jawa Tengah Syariah (UUS)
